Sport: Basketball
Event: AZM VS BYU
Location: MCKALE CENTER
Date: 2/18/26
NameWP1: KIPP
NameWP2: DOUG
NameWP3: ROGER
NameWP4: SPARE
TimeKeeper: TODD
-------START-------
WP 11:46 ROGER Stop
WP 11:46 ROGER Start
WP 11:32 KIPP Stop
WP 11:32 KIPP Start
WP 11:27 DOUG Start
WP 19:59 DOUG Start
WP 19:25 KIPP Stop
WP 13:55 ROGER Stop
WP 13:55 ROGER Start
WP 12:50 DOUG Stop
WP 12:50 KIPP Start
WP 11:46 DOUG Start
WP 10:21 ROGER Stop
WP 9:30 ROGER Stop
WP 9:29 DOUG Start
WP 9:12 KIPP Stop
WP 9:12 DOUG Start
WP 8:59 KIPP Start
WP 6:43 KIPP Stop
WP 6:43 DOUG Start
WP 5:18 ROGER Stop
WP 3:50 ROGER Stop
WP 3:49 DOUG Start
WP 3:08 KIPP Stop
WP 2:09 KIPP Stop
WP 2:09 DOUG Start
WP 2:08 KIPP Start
WP 2:08 ROGER Start
WP 1:54 KIPP Stop
WP 1:54 KIPP Start
WP 1:10 DOUG Stop
WP 1:10 KIPP Start
WP 1:10 ROGER Start
WP 0:42.0 DOUG Stop
WP 0:41.9 DOUG Start
WP 0:29.9 KIPP Start
WP 0:06.9 DOUG Stop
WP 0:06.8 KIPP Start
WP 0:00.8 ROGER Stop
WP 0:00.7 DOUG Start
WP 0:00.6 ROGER Start
WP 0:00.0 KIPP Stop
WP 19:10 DOUG Start
WP 16:27 ROGER Stop
WP 16:27 KIPP Start
WP 16:11 ROGER Stop
WP 16:11 ROGER Start
WP 13:39 KIPP Stop
WP 13:39 KIPP Start
WP 12:56 DOUG Stop
WP 12:56 DOUG Start
WP 11:16 KIPP Stop
WP 11:16 DOUG Start
WP 10:09 ROGER Stop
WP 9:24 KIPP Stop
WP 9:23 ROGER Start
WP 9:05 DOUG Start
WP 8:16 ROGER Stop
WP 8:15 ROGER Start
WP 7:28 ROGER Stop
WP 7:28 DOUG Start
WP 6:03 KIPP Stop
WP 6:03 KIPP Start
WP 6:03 ROGER Start
WP 6:01 ROGER Stop
WP 6:01 KIPP Start
WP 5:24 ROGER Stop
WP 5:24 KIPP Start
WP 3:49 KIPP Stop
WP 3:49 DOUG Start
WP 3:25 KIPP Start
WP 3:25 ROGER Start
WP 3:19 DOUG Start
WP 3:18 ROGER Start
WP 2:54 DOUG Stop
WP 2:54 KIPP Start
WP 2:30 ROGER Stop
WP 2:30 DOUG Start
WP 2:10 DOUG Start
WP 1:45 DOUG Stop
WP 1:45 DOUG Start
WP 1:19 DOUG Stop
WP 1:19 ROGER Start
WP 0:54.9 DOUG Stop
WP 0:54.9 DOUG Start
WP 0:30.2 KIPP Start
WP 0:22.1 ROGER Stop
WP 0:22.1 KIPP Start
WP 0:21.7 ROGER Start
WP 0:17.0 DOUG Start
WP 0:12.9 DOUG Stop
WP 0:12.9 DOUG Start
--------END--------
