Sport: Basketball
Event: BIG 12 CHAMP GAME 9
Location: T MOBILE ARENA
Date: 3/12/26
NameWP1: MARQUES
NameWP2: STANDBY
NameWP3: BROOKS
NameWP4: CHANCE
TimeKeeper: TIMEKEEPER
-------START-------
WP 16:30 MARQUES Stop
WP 16:30 MARQUES Start
WP 16:20 BROOKS Stop
WP 16:20 BROOKS Start
AP 20:00 TIMEKEEPER Start
AP 18:44 TIMEKEEPER Stop
WP 18:44 BROOKS Start
WP 18:21 CHANCE Stop
WP 18:21 MARQUES Start
WP 16:31 BROOKS Stop
WP 16:31 CHANCE Start
AP 15:52 TIMEKEEPER Stop
AP 15:52 TIMEKEEPER Start
WP 15:21 MARQUES Stop
WP 15:21 BROOKS Start
WP 15:08 MARQUES Stop
WP 15:08 MARQUES Start
WP 14:13 BROOKS Stop
WP 14:13 MARQUES Start
WP 13:03 BROOKS Stop
AP 13:03 TIMEKEEPER Start
WP 11:59 BROOKS Stop
AP 11:59 TIMEKEEPER Start
WP 11:10 MARQUES Stop
WP 11:10 BROOKS Start
WP 10:44 BROOKS Stop
WP 10:44 MARQUES Start
WP 10:03 MARQUES Stop
WP 10:03 MARQUES Start
WP 9:02 BROOKS Stop
WP 9:02 BROOKS Start
WP 8:53 BROOKS Stop
AP 8:53 TIMEKEEPER Start
WP 7:29 BROOKS Stop
WP 7:29 MARQUES Start
AP 6:25 TIMEKEEPER Stop
WP 6:25 BROOKS Start
AP 6:21 TIMEKEEPER Stop
WP 6:21 BROOKS Start
WP 4:59 BROOKS Stop
AP 4:59 TIMEKEEPER Start
WP 4:13 CHANCE Stop
WP 4:13 MARQUES Start
WP 3:04 BROOKS Stop
WP 3:04 CHANCE Start
WP 2:42 BROOKS Stop
AP 2:42 TIMEKEEPER Start
WP 1:54 BROOKS Stop
AP 1:54 TIMEKEEPER Start
WP 1:06 MARQUES Stop
AP 1:06 TIMEKEEPER Start
AP 15:00 TIMEKEEPER Start
WP 20:00 MARQUES Start
WP 19:25 CHANCE Stop
AP 19:25 TIMEKEEPER Start
WP 19:08 CHANCE Stop
AP 19:08 TIMEKEEPER Start
AP 17:24 TIMEKEEPER Stop
WP 17:24 MARQUES Start
WP 15:01 CHANCE Stop
WP 15:01 BROOKS Start
WP 14:32 MARQUES Stop
WP 14:32 BROOKS Start
WP 14:13 MARQUES Stop
WP 14:13 BROOKS Start
WP 13:04 CHANCE Stop
WP 13:04 BROOKS Start
WP 12:22 BROOKS Stop
WP 12:22 MARQUES Start
WP 11:57 BROOKS Stop
WP 11:57 BROOKS Start
AP 9:49 TIMEKEEPER Stop
WP 9:49 MARQUES Stop
WP 9:49 MARQUES Start
AP 9:19 TIMEKEEPER Stop
WP 9:19 MARQUES Start
WP 8:39 BROOKS Stop
AP 8:39 TIMEKEEPER Start
WP 8:38 BROOKS Stop
WP 8:38 BROOKS Start
WP 8:18 BROOKS Stop
WP 8:18 BROOKS Start
WP 6:48 MARQUES Stop
WP 6:48 MARQUES Start
WP 5:49 MARQUES Stop
WP 5:49 MARQUES Start
WP 5:43 MARQUES Stop
AP 5:43 TIMEKEEPER Start
WP 5:27 MARQUES Stop
WP 5:27 BROOKS Start
WP 5:24 BROOKS Stop
WP 5:24 BROOKS Start
WP 5:06 BROOKS Stop
WP 5:06 BROOKS Start
WP 4:44 BROOKS Stop
WP 4:44 MARQUES Start
WP 4:34 MARQUES Stop
WP 4:34 BROOKS Start
WP 4:20 BROOKS Stop
WP 4:20 CHANCE Start
WP 2:53 BROOKS Stop
WP 2:53 MARQUES Start
AP 2:04 TIMEKEEPER Stop
WP 2:04 BROOKS Start
AP 1:25 TIMEKEEPER Stop
WP 1:25 MARQUES Start
WP 1:00 BROOKS Stop
AP 1:00 TIMEKEEPER Start
WP 0:33.8 MARQUES Stop
WP 0:33.8 BROOKS Start
AP 0:02.5 TIMEKEEPER Stop
AP 0:03.8 TIMEKEEPER Start
--------END--------
