Sport: Basketball
Event: BIG 12 CHAMP GAME 10
Location: T MOBILE ARENA
Date: 3/12/26
NameWP1: TONY
NameWP2: STANDBY
NameWP3: GREG
NameWP4: JAMES
TimeKeeper: TIMEKEEPER
-------START-------
AP 0:50.8 TIMEKEEPER Stop
AP 0:50.8 TIMEKEEPER Start
AP 20:00 TIMEKEEPER Start
WP 19:57 JAMES Stop
WP 19:57 TONY Start
WP 18:28 TONY Stop
AP 18:28 TIMEKEEPER Start
WP 18:08 TONY Stop
WP 18:08 TONY Start
AP 17:49 TIMEKEEPER Stop
WP 17:49 JAMES Start
AP 17:08 TIMEKEEPER Stop
WP 17:08 GREG Start
AP 16:09 TIMEKEEPER Stop
AP 16:09 TIMEKEEPER Start
WP 16:00 TONY Stop
WP 16:00 TONY Start
WP 15:16 GREG Stop
WP 15:16 TONY Start
AP 13:52 TIMEKEEPER Stop
WP 13:52 TONY Start
WP 13:09 GREG Stop
WP 13:09 JAMES Start
WP 12:58 TONY Stop
AP 12:58 TIMEKEEPER Start
WP 12:23 JAMES Stop
WP 12:23 TONY Start
AP 11:02 TIMEKEEPER Stop
AP 11:02 TIMEKEEPER Start
AP 10:56 TIMEKEEPER Stop
WP 10:56 JAMES Start
AP 10:48 TIMEKEEPER Stop
AP 10:48 TIMEKEEPER Start
WP 10:35 TONY Stop
WP 10:35 TONY Start
WP 9:37 TONY Stop
WP 9:37 TONY Start
WP 7:58 JAMES Stop
WP 7:58 TONY Start
WP 7:22 TONY Stop
WP 7:22 JAMES Start
WP 6:49 TONY Stop
AP 6:49 TIMEKEEPER Start
AP 6:37 TIMEKEEPER Stop
AP 6:37 TIMEKEEPER Start
WP 5:23 TONY Stop
WP 5:23 JAMES Start
WP 4:28 JAMES Stop
AP 4:28 TIMEKEEPER Start
WP 3:43 TONY Stop
WP 3:43 JAMES Start
AP 3:27 TIMEKEEPER Stop
WP 3:27 TONY Start
WP 2:47 JAMES Stop
WP 2:47 GREG Start
AP 2:23 TIMEKEEPER Stop
AP 2:23 TIMEKEEPER Start
WP 2:10 TONY Stop
WP 2:10 JAMES Stop
WP 2:10 JAMES Start
AP 0:33.9 TIMEKEEPER Stop
WP 0:33.9 TONY Start
WP 0:00.1 TONY Stop
WP 0:00.1 TONY Start
AP 15:00 TIMEKEEPER Start
WP 20:00 TONY Start
WP 19:25 JAMES Stop
WP 19:25 JAMES Start
WP 19:04 JAMES Stop
WP 19:04 JAMES Start
AP 18:26 TIMEKEEPER Stop
WP 18:26 JAMES Start
AP 17:47 TIMEKEEPER Stop
WP 17:47 JAMES Start
WP 16:45 GREG Stop
AP 16:45 TIMEKEEPER Start
AP 16:28 TIMEKEEPER Stop
WP 16:28 JAMES Start
WP 15:50 JAMES Stop
WP 15:50 JAMES Start
WP 15:38 JAMES Stop
WP 15:38 TONY Start
WP 14:57 TONY Stop
WP 14:57 TONY Start
WP 14:13 JAMES Stop
AP 14:13 TIMEKEEPER Start
AP 13:19 TIMEKEEPER Stop
WP 13:19 TONY Start
WP 13:00 JAMES Stop
WP 13:00 JAMES Start
AP 12:57 TIMEKEEPER Stop
WP 12:57 JAMES Start
WP 11:20 TONY Stop
WP 11:20 JAMES Start
WP 11:09 GREG Stop
WP 11:09 JAMES Stop
WP 11:09 TONY Start
WP 10:49 JAMES Stop
AP 10:49 TIMEKEEPER Start
WP 10:45 JAMES Stop
WP 10:45 TONY Start
WP 9:51 JAMES Stop
AP 9:51 TIMEKEEPER Start
WP 9:40 TONY Stop
WP 9:40 TONY Start
WP 9:29 TONY Stop
AP 9:29 TIMEKEEPER Start
WP 9:18 TONY Stop
WP 9:18 TONY Start
WP 8:47 TONY Stop
AP 8:47 TIMEKEEPER Start
AP 8:25 TIMEKEEPER Stop
AP 8:25 TIMEKEEPER Start
WP 7:17 GREG Stop
WP 7:17 TONY Start
AP 6:08 TIMEKEEPER Stop
WP 6:08 JAMES Start
WP 6:07 TONY Stop
AP 6:07 TIMEKEEPER Start
WP 5:10 JAMES Stop
WP 5:10 TONY Start
WP 4:34 TONY Stop
WP 4:34 JAMES Start
WP 4:23 TONY Stop
WP 4:23 JAMES Start
AP 4:08 TIMEKEEPER Stop
WP 4:08 TONY Start
WP 3:25 TONY Stop
WP 3:25 GREG Start
AP 2:55 TIMEKEEPER Stop
AP 2:55 TIMEKEEPER Start
AP 2:43 TIMEKEEPER Stop
AP 2:43 TIMEKEEPER Start
WP 1:14 GREG Stop
AP 1:14 TIMEKEEPER Start
AP 0:50.8 TIMEKEEPER Stop
AP 0:50.8 TIMEKEEPER Start
AP 0:42.9 TIMEKEEPER Stop
WP 0:42.8 TONY Start
AP 0:27.8 TIMEKEEPER Stop
AP 0:27.8 TIMEKEEPER Start
