Sport: Basketball
Event: BIG 12 CHAMP GAME 11
Location: T MOBILE ARENA
Date: 3/12/26
NameWP1: DOUG
NameWP2: STANDBY
NameWP3: BRET
NameWP4: TOMMY
TimeKeeper: TIMEKEEPER
-------START-------
WP 19:12 DOUG Stop
WP 19:12 DOUG Start
WP 19:05 BRET Stop
WP 19:05 BRET Start
WP 20:00 BRET Start
WP 18:08 BRET Stop
WP 18:08 DOUG Start
WP 16:49 BRET Stop
WP 16:49 BRET Start
WP 15:12 DOUG Stop
WP 15:12 BRET Start
AP 14:33 TIMEKEEPER Stop
WP 14:33 DOUG Start
WP 13:45 DOUG Stop
AP 13:45 TIMEKEEPER Start
WP 12:15 DOUG Stop
AP 12:15 TIMEKEEPER Start
WP 11:52 BRET Stop
AP 11:52 TIMEKEEPER Start
WP 10:52 DOUG Stop
WP 10:52 BRET Start
AP 10:42 TIMEKEEPER Stop
WP 10:42 DOUG Start
AP 9:49 TIMEKEEPER Stop
WP 9:49 DOUG Start
AP 9:41 TIMEKEEPER Stop
WP 9:41 DOUG Start
AP 9:22 TIMEKEEPER Stop
WP 9:22 DOUG Start
WP 9:08 DOUG Stop
WP 9:08 BRET Start
AP 7:36 TIMEKEEPER Stop
WP 7:36 DOUG Start
WP 6:22 BRET Stop
WP 6:22 BRET Stop
AP 6:22 TIMEKEEPER Start
WP 6:00 BRET Stop
WP 6:00 BRET Start
AP 5:13 TIMEKEEPER Stop
WP 5:13 DOUG Start
AP 4:29 TIMEKEEPER Stop
WP 4:29 DOUG Start
AP 3:58 TIMEKEEPER Stop
WP 3:58 BRET Stop
WP 3:58 DOUG Stop
WP 3:58 DOUG Start
AP 3:54 TIMEKEEPER Stop
WP 3:54 DOUG Start
WP 3:16 BRET Stop
AP 3:16 TIMEKEEPER Start
AP 3:09 TIMEKEEPER Stop
AP 3:09 TIMEKEEPER Start
WP 2:56 BRET Stop
WP 2:56 DOUG Start
WP 2:31 BRET Stop
WP 2:31 BRET Start
AP 2:15 TIMEKEEPER Stop
WP 2:15 DOUG Start
WP 1:48 DOUG Stop
AP 1:48 TIMEKEEPER Start
AP 1:36 TIMEKEEPER Stop
WP 1:36 DOUG Start
WP 0:39.2 BRET Stop
WP 0:39.2 DOUG Start
AP 0:00.3 TIMEKEEPER Stop
WP 0:00.3 BRET Start
AP 15:00 TIMEKEEPER Start
WP 20:00 DOUG Start
WP 19:37 DOUG Stop
WP 19:37 DOUG Start
WP 19:15 DOUG Stop
WP 19:15 DOUG Start
AP 18:59 TIMEKEEPER Stop
WP 18:59 DOUG Start
WP 18:45 DOUG Stop
WP 18:45 DOUG Start
WP 18:25 DOUG Stop
WP 18:25 DOUG Start
WP 17:27 DOUG Stop
WP 17:27 DOUG Start
WP 17:27 TOMMY Start
WP 16:50 DOUG Stop
WP 16:50 TOMMY Start
WP 15:10 TOMMY Stop
WP 15:10 DOUG Start
WP 13:54 DOUG Stop
WP 13:54 TOMMY Start
WP 13:00 DOUG Stop
WP 13:00 DOUG Start
AP 11:54 TIMEKEEPER Stop
WP 11:54 DOUG Start
WP 11:42 DOUG Stop
AP 11:42 TIMEKEEPER Start
WP 11:34 DOUG Stop
WP 11:34 DOUG Start
WP 11:16 DOUG Stop
AP 11:16 TIMEKEEPER Start
WP 10:29 DOUG Stop
AP 10:29 TIMEKEEPER Start
WP 10:20 DOUG Stop
WP 10:20 DOUG Start
WP 9:44 DOUG Stop
WP 9:44 DOUG Start
WP 9:31 DOUG Stop
WP 9:31 DOUG Start
AP 9:18 TIMEKEEPER Stop
WP 9:18 DOUG Start
AP 7:42 TIMEKEEPER Stop
WP 7:42 TOMMY Start
WP 7:38 DOUG Stop
WP 7:42 TOMMY Start
WP 6:52 BRET Stop
WP 6:52 DOUG Start
AP 5:50 TIMEKEEPER Stop
WP 5:50 TOMMY Start
WP 4:40 TOMMY Stop
WP 4:40 BRET Start
WP 3:51 DOUG Stop
WP 3:51 BRET Start
AP 2:13 TIMEKEEPER Stop
WP 2:13 BRET Start
WP 2:10 TOMMY Stop
WP 2:10 DOUG Start
WP 0:33.6 BRET Stop
WP 0:33.6 BRET Stop
WP 0:33.5 TOMMY Start
WP 0:20.7 DOUG Start
AP 0:11.9 TIMEKEEPER Stop
WP 0:11.9 BRET Start
WP 0:10.9 DOUG Stop
WP 0:10.9 BRET Start
AP 0:04.7 TIMEKEEPER Stop
WP 0:04.7 BRET Start
WP 0:03.3 DOUG Stop
WP 0:03.3 BRET Start
--------END--------
